생태구명,정점명,관측년도,관측월,조사일자,날씨,수심,투명도(m),수온(℃)표층,수온(℃)저층,염분표층,염분저층,수소이온농도표층,수소이온농도저층,용존산소량(㎎/L)표층,용존산소량(㎎/L)저층,화학적산소요구량(㎎/L)표층,화학적산소요구량(㎎/L)저층,암모니아성질소(㎍/L)표층,암모니아성질소(㎍/L)저층,아질산성질소(㎍/L)표층,아질산성질소(㎍/L)저층,질산성질소(㎍/L)표층,질산성질소(㎍/L)저층,용존무기질소(㎍/L)표층,용존무기질소(㎍/L)저층,총질소(㎍/L)표층,총질소(㎍/L)저층,용존무기인(㎍/L)표층,용존무기인(㎍/L)저층,총인(㎍/L)표층,총인(㎍/L)저층,규산규소(㎍/L)표층,규산규소(㎍/L)저층,부유물질(㎎/L)표층,부유물질(㎎/L)저층,클로로필A(㎍/L)표층,클로로필A(㎍/L)저층,WQI등급
대한해협,BK1417,2012,5,2012-05-10,맑음,13,2.5,14.92,14.11,33.81,33.95,8.32,8.29,10.07,9.87,1.61,1.05,2.7,5.6,0.3,0.6,1,2,3.9,8.2,214.9,218.9,0.8,1.3,21.8,22.8,11.3,27.1,5.4,5.8,13.46,13.46,2
대한해협,BK1417,2012,2,2012-02-20,맑음,14,4.5,10.96,9.71,34.35,34.23,8.16,8.17,9.56,9.79,0.23,0.28,17,28.4,7.1,8,73,87.4,97,123.8,185.5,228,10.7,12.3,11.6,13.2,179.6,195.3,4.6,4.3,1.07,0.87,1
대한해협,BK1417,2011,11,2011-11-08,구름많음,14,4,18.5,18.44,32.72,32.92,8.12,8.1,7.23,7.22,0.59,0.61,49.1,30.2,10.4,6.9,62.7,53,122.1,90.1,313.4,279.1,19,17.7,21.3,19.4,368.8,351.3,3,4.3,0.46,0.64,1
대한해협,BK1417,2011,8,2011-08-03,맑음,14,2.5,19.27,13.57,32.1,33.42,8.15,8.1,7.55,7.3,0.96,0.68,28.7,24.6,7.8,6.3,69.3,110.1,105.8,141,250.1,250.6,2.6,20.2,21.6,21.8,1235,1456.6,5.2,6.8,4.9,4,2
대한해협,BK1417,2011,5,2011-05-18,맑음,13,1.6,14.36,13.26,33.46,33.89,8.3,8.25,9.41,8.49,1.08,0.47,68.1,31.7,7.9,7.3,64.2,67,140.3,106,380.1,273.2,16,14,24.7,19.2,154.9,233,4.6,6.8,4.03,2.24,2
대한해협,BK1417,2011,2,2011-02-23,맑음,14.7,1.6,11.2,10.88,34.4,34.41,8.05,8.05,9.23,8.87,0.66,0.9,122.9,61,7.7,7.4,73.7,80.8,204.3,149.2,499.1,483.7,21.4,20.2,79.2,84.2,174.4,180.5,7,13.3,0.87,1.45,2
대한해협,BK1417,2010,11,,-,-,2.5,15.49,15.37,33.52,33.78,7.98,7.97,6.85,6.57,0.67,0.8,34.5,22.8,9.4,7,177.6,135.1,221.5,164.9,372.5,329.4,34.3,17.9,52.4,46.3,548.9,403.8,2.7,5,1.97,0.97,3
대한해협,BK1417,2010,8,,-,-,3,19.25,16.41,32.56,33.26,8.04,7.98,8.92,8.63,2.36,2.51,57.9,44.6,1.3,1.1,0.1,1.1,59.3,46.8,315.7,337.6,7,9.5,14.3,22.2,42.5,65.7,4.6,5.1,8.89,13.15,2
대한해협,BK1417,2010,5,,-,-,1.4,13.73,13.35,33.88,34.11,8.01,8.01,8.87,8.86,0.34,0.85,28.2,10,8,7.7,71.3,66.9,107.5,84.7,207,159.5,22,13.3,32.6,22.5,222.1,227.9,4.1,2.8,1.55,1.11,2
대한해협,BK1417,2010,2,,-,-,3,11,10.07,33.93,34.02,8.03,8.02,9.02,9.08,1.09,0.69,26.7,31.2,6,7,112.9,119.9,145.6,158.2,288.5,363.1,18.4,18.4,30.7,34.5,298.6,346.4,13.6,9.1,0.66,1.05,1
대한해협,BK1417,2009,11,,-,-,1,15.95,16.19,32.94,33.18,7.74,7.72,7.09,7.01,1.58,1.23,10.6,12.2,1.7,4,124.2,113.8,136.4,130,174.9,326.6,10.4,18.3,29.3,35.5,461.6,320.8,9.6,12.4,1.41,1.31,3
대한해협,BK1417,2009,8,,-,-,2.5,24.02,23.27,30.05,31.05,8.1,8.12,5.93,6.34,1.93,1.82,51.4,26.3,4.2,2.2,77.7,39.4,133.3,67.8,258.6,206.2,7,23.7,39.2,24.5,95.6,83.9,6.7,6.4,6.02,6.58,2
대한해협,BK1417,2009,5,,-,-,5,15.17,13.37,33.94,34.89,8,7.96,9.3,9.42,0.78,0.63,31.7,10.1,5.3,7.1,78.1,68.8,115.2,85.9,213.9,251,14.6,2.4,20.9,25.8,292.5,281.5,3.1,4.2,6.9,8.52,1
대한해협,BK1417,2009,2,,-,-,4,13.17,12.37,34.03,34.23,8.17,8.16,8.4,8.28,2.04,1.49,34.6,24.4,4.8,7.3,95.8,111.3,135.2,143,289.1,306.2,9,14.2,15.7,24.8,328.2,352.8,2,2.7,1.39,1.56,1
대한해협,BK1417,2008,11,,-,-,4,17.1,16.73,33.3,33.43,7.98,7.87,6.74,6.61,1.38,0.76,17,13,8,7,130,142,155,163,211,315,23,21,24,28,477,513,10.4,-,1.01,-,2
대한해협,BK1417,2008,8,,-,-,2,19.1,17.95,33.24,34.09,8.14,8.09,7.83,7.68,1.77,1.43,21,24,1,2,32,24,53,50,283,230,6,7,19,17,67,160,5.6,-,12.93,-,3
대한해협,BK1417,2008,5,,-,-,3,15.37,14.26,34.1,34.28,8.11,8.12,8.84,8.46,0.77,0.46,39,32,8,16,34,49,81,97,287,268,14,19,26,22,79,490,7.1,8.5,3.34,2.9,1
대한해협,BK1417,2008,2,,-,-,1.7,11.71,10.52,33.83,34.19,8.12,8.09,9.79,10.01,0.35,0.47,0,20,6,7,99,112,105,139,192,228,18,32,19,32,8,8,4.1,2.4,0.59,1.2,2
대한해협,BK1417,2007,11,,-,-,4,15.61,16.4,32.97,33.19,8.02,8.02,7.6,6.09,0.72,0.88,43,45,8,8,108,115,159,169,373,356,34,29,35,40,327,339,4.9,4.1,1.85,1.09,3
대한해협,BK1417,2007,8,,-,-,2.5,20.73,17.24,33.62,34.25,7.56,7.89,8.46,7.7,1.22,1.07,8,8.3,4.2,4.5,63.9,81.4,76.2,94.2,498.2,489.2,17.3,18.5,42.3,46,180.9,317.1,3.2,5.6,6.13,3.81,1
대한해협,BK1417,2007,5,,-,-,2.5,16.25,13.97,27.98,33.21,7.52,7.46,8.11,8.14,0.78,0.75,60.1,38.1,8.2,8.6,202.9,169.7,271.2,317.9,605.7,607.9,18.2,15.2,50,24,103.5,242.1,11.5,13.5,4.64,5.83,2
대한해협,BK1417,2007,2,,-,-,3,11.32,10.57,34.04,33.94,7.79,7.78,9.89,10.22,0.72,0.98,33.3,29.3,9.6,9.4,106.2,100.9,149.1,139.6,259,263.9,21.1,22.1,36,33.5,282.7,345,3.8,5.5,0.99,0.82,1
대한해협,BK1417,2006,11,,-,-,2.8,18.13,16.73,32.6,33.31,7.87,7.84,7.96,7.8,0.84,0.79,72.3,60.2,7.7,7,106.3,125.9,186.3,193.1,265.2,244.5,26,18.5,36.1,36.1,358.8,377,4.2,5.9,1.52,1.29,1
대한해협,BK1417,2006,8,,-,-,1.9,18.6,14.94,30.6,33.16,8.02,7.71,12.18,9.22,2.86,1.73,15,38.5,6.8,5,77.9,163.4,99.7,206.9,223.4,245.4,2.8,17.5,35.5,39.2,63.9,413.9,3.9,5.4,22.87,11.88,3
대한해협,BK1417,2006,5,,-,-,2.8,14.35,13.87,33.37,34.07,8.18,8.18,8.46,8.59,0.99,1.39,159.1,54.6,16,13,64.3,46.8,255.3,127.3,515.6,361.1,21.5,18,40.6,35.9,193.1,126.6,5.4,18.4,2.99,2.38,2
대한해협,BK1417,2006,2,,-,-,3,10.89,9.71,33.56,33.46,8.03,8,9.04,9.5,1.38,0.66,53,106.1,7,7.3,44.4,67.5,104.3,180.9,252.2,562.7,16,18.3,16.8,19,345,246.2,3.4,4.1,0.99,1.16,1
대한해협,BK1417,2005,11,,-,-,1.8,17.98,18,32.38,32.63,8.22,8.25,7.26,8.89,0.82,0.76,82.9,72.2,9.8,8.6,22.2,20.7,114.9,101.5,1479.5,739,22.6,21.7,29.1,37,427.2,430.2,6.7,8,0.79,0.71,2
대한해협,BK1417,2005,8,,-,-,2,21.88,17.78,31.57,32.68,8.12,7.95,8.67,8.22,0.84,1.97,64,45,5,4,150,41,219,90,310,197,7,6,50,34,165,255,5.8,5.9,5.83,5.16,2
대한해협,BK1417,2005,5,,-,-,1.8,14.84,14.96,33.77,34.28,7.98,8,9.53,8.93,1.39,1.78,103.2,71.2,10.1,8.7,53.1,45.9,166.5,125.8,624.2,339.5,22.4,19.5,47.6,31.9,172.1,144,5.2,4.8,2.18,1.75,2
대한해협,BK1417,2005,2,,-,-,1,10.85,10.94,34,34.08,7.93,7.93,9.51,9.5,1.83,1.98,94.4,48.3,15.8,9.3,82.1,80.1,192.3,137.8,742,752,10.8,7.1,40.7,43.6,339.3,510.7,17.3,19.7,5.04,4.03,2
대한해협,BK1417,2004,11,,-,-,1.5,18.04,17.6,32.99,33.38,8.07,8.03,7.26,7.19,1.37,1.21,129.1,112.3,41.7,50.2,84.5,85,255.3,247.6,504.1,499,15.4,17.7,42,44.5,385,359,5.8,-,1.52,-,2
대한해협,BK1417,2004,8,,-,-,1.5,24.75,22.71,32.04,32.58,8.17,8.04,8.57,7.17,1.18,0.98,6,3,1,2,18,14,25,19,325,315,2,1,37,33,80,186,4.9,-,5.04,-,2
대한해협,BK1417,2004,5,,-,-,2.3,15.57,14.19,32.71,33.28,8.17,8.13,9.5,8.48,3.08,2.44,4,9,1,3,27,50,32,62,427,248,6,7,50,20,395,381,6.6,-,8.21,-,2
대한해협,BK1417,2004,2,,-,-,1.5,10.18,10.53,32.7,32.37,8.06,8.08,12.86,10.08,2.08,2.24,30.3,31.2,25.1,23.1,85.6,111.6,141.1,165.9,534.9,401.6,13.6,20.5,31.1,34.3,347.1,360,5,-,2.73,-,2
대한해협,BK1417,2003,11,,-,-,1.7,16.89,16.74,32.24,32.31,8.04,7.99,9.84,8.97,2.3,2.1,73.6,31.6,8,7.4,104.2,103.5,185.8,142.5,349.6,301.1,35.7,27.1,69.8,62.8,-,-,5.9,-,1.07,-,2
대한해협,BK1417,2003,8,,-,-,1.7,21.96,13.72,31.12,34.18,8.15,8.1,6.79,5.46,2.38,2.19,68.4,61.3,21,20.2,293.9,253,383.3,334.5,988.2,591.5,89.4,33.5,101,63.8,-,-,13.8,-,15.14,-,5
대한해협,BK1417,2003,5,,-,-,1.5,15.66,13.82,32.6,33.97,8.06,8,7.89,9.78,2.9,1.9,61.1,61.2,16.6,19.5,100.1,83.6,177.9,164.4,515.2,515.2,29.4,18.9,40.3,38.2,-,-,4.3,-,7.36,-,2
대한해협,BK1417,2003,2,,-,-,0.5,10.2,10.09,33.22,33.27,7.98,7.99,11.66,8.56,2.01,1.78,103.6,156.7,8,7.4,185.2,155.5,296.9,319.6,643.5,615.8,31.3,29.6,41.6,66.4,-,-,13.5,-,1.08,-,3
대한해협,BK1417,2002,11,,-,-,2.5,14.39,14.41,33.04,33.39,7.99,8.07,8.33,8.3,2.08,2.01,44.9,33.1,10.5,9.6,129.1,155.8,184.5,198.5,583.2,511.4,28.7,33,43.8,48,-,-,5.5,-,2.19,-,1
대한해협,BK1417,2002,8,,-,-,2,21.65,18.48,32.57,33.29,8.13,8.06,3.16,2.91,2.95,2.9,22.3,11.8,26.3,23.3,750.8,453.7,799.4,488.8,947.7,550.9,85.8,14.3,89.8,23.2,-,-,11.8,-,10.4,-,5
대한해협,BK1417,2002,5,,-,-,2.5,16.14,14.82,33.53,34.23,7.99,7.99,9.3,10.07,2.64,2.48,92.9,68.7,13.5,11.4,177.6,89.6,284,169.7,471.9,309.3,11.8,13.9,42.2,32.7,-,-,2.7,-,1.36,-,2
대한해협,BK1417,2002,2,,-,-,2,10.51,10.51,33.31,33.86,8.04,8.1,9.86,9.95,2.06,1.91,65,86,9,10,162,199,236,295,522,553,38,48,56,50,-,-,1.2,-,0.17,-,2
대한해협,BK1417,2001,11,,-,-,2,17.48,17.76,33.11,33.32,8.14,8.06,6.16,6.37,2.12,2.12,47,32,27,19,162,118,236,169,-,-,58,51,-,-,-,-,1.9,-,1.02,-,3
대한해협,BK1417,2001,8,,-,-,3,21.23,16.64,32.15,32.89,7.88,7.81,7.33,7.93,2.65,1.87,334,346,4.2,7.3,647.6,308,985.8,661.3,-,-,92,29,-,-,-,-,5.2,-,7.43,-,3
대한해협,BK1417,2001,5,,-,-,3,15.28,14.65,32.81,33.42,7.8,8.08,8.17,8.24,2.36,2.04,101.9,49,9.7,6.1,132.4,69.2,244,124.3,-,-,1.2,0.7,-,-,-,-,5,-,3.92,-,2
대한해협,BK1417,2001,2,,-,-,3.5,12.57,11.45,34.08,34.13,8.15,8.09,6.02,6.16,1.7,1.47,34.1,82,5.6,8.4,152.1,185.6,191.7,276,-,-,23.9,54.4,-,-,-,-,5.4,-,0.19,-,3
대한해협,BK1417,2000,11,,-,-,4,17.93,17.04,32.57,33,7.96,7.99,6.85,7.43,2.74,2.24,16.6,34,11.5,15.8,153.2,124.5,181.3,174.3,-,-,33.7,51.2,-,-,-,-,6.8,-,0.86,-,1
대한해협,BK1417,2000,8,,-,-,5,26.04,22.42,30.34,31.26,8.1,8.36,7.06,4.11,2.51,1.4,133.8,47.7,18.2,2.3,68.3,16.8,220.3,66.7,-,-,91.2,31.7,-,-,-,-,5.6,-,7.62,-,5
대한해협,BK1417,2000,5,,-,-,3.7,13.71,13.03,33.86,34.09,8.24,8.22,8.05,8.13,0.94,1.72,77,139.9,6.9,9.7,108.5,92,192.5,241.7,-,-,49.5,74.7,-,-,-,-,2.2,-,9.08,-,2
대한해협,BK1417,2000,2,,-,-,4,11.98,11.2,33.55,34.02,8.05,8.04,7.24,7.91,3.03,1.91,73,81,11,15,327,245,411,341,-,-,67,24,-,-,-,-,28.7,-,0.37,-,3
